cpd:C00001	H2O; Water
ko:K20206	VBPO; bromide peroxidase [EC:1.11.1.18]
ko:K20207	gpx; hydroperoxy fatty acid reductase [EC:1.11.1.22]
ko:K20208	sfmD; 3-methyl-L-tyrosine peroxygenase [EC:1.11.2.5]
ko:K20209	qdo; 3-hydroxy-4-oxoquinoline 2,4-dioxygenase [EC:1.13.11.47]
ko:K20210	RREB1; ras-responsive element-binding protein 1
ko:K20211	PROX1; prospero homeobox 1
ko:K20212	PROX2; prospero homeobox 2
ko:K20213	RUN; RUNX transcription factor Runt
ko:K20214	LZ; RUNX transcription factor Lozenge
ko:K20215	dph5; diphthine synthase [EC:2.1.1.98]
ko:K20216	DUSP10; dual specificity phosphatase 10 [EC:3.1.3.16 3.1.3.48]
ko:K20217	UBE2E; ubiquitin-conjugating enzyme E2 E [EC:2.3.2.23]
ko:K20218	hipH; 4-hydroxyisophthalate hydroxylase
ko:K20219	phsA; o-aminophenol oxidase [EC:1.10.3.4]
ko:K20220	PTP-ER; tyrosine-protein phosphatase ERK [EC:3.1.3.48]
ko:K20221	IPO4, RANBP4; importin-4
ko:K20222	IPO5, KPNB3, RANBP5; importin-5
ko:K20223	IPO7, RANBP7; importin-7
ko:K20224	IPO9, RANBP9; importin-9
ko:K20225	CIC; capicua transcriptional repressor
ko:K20226	TRK; protein trunk
ko:K20227	FS1M3; female sterile (1) M3, polehole
ko:K20228	FS1N; female sterile (1) Nasrat
ko:K20229	SPI; protein spitz
ko:K20230	KEK1; kekkon-1
ko:K20231	DOS; protein daughter of sevenless
ko:K20232	EDL; ETS-domain lacking
ko:K20233	PHYL; phyllopod
ko:K20234	DOK2; docking protein 2
ko:K20235	RAW; raw
ko:K20236	K20236; Mats homologue
ko:K20237	NUD1; protein NUD1
ko:K20238	E2.1.1.317; sphingolipid C9-methyltransferase [EC:2.1.1.317]
ko:K20239	SDT; spermidine disinapoyl transferase [EC:2.3.1.248]
ko:K20240	SCT; spermidine dicoumaroyl transferase [EC:2.3.1.249]
ko:K20241	WDR44, RAB11BP; WD repeat-containing protein 44
ko:K20242	EVI5; ecotropic viral integration site 5 protein
ko:K20243	REP15; Rab15 effector protein
ko:K20244	IHOG; interference hedgohog
ko:K20245	BOI; brother of ihog
ko:K20246	EGT1; L-histidine Nalpha-methyltransferase / hercynylcysteine S-oxide synthase [EC:2.1.1.44 1.14.99.51]
ko:K20247	EGT2; hercynylcysteine sulfoxide lyase [EC:4.4.1.-]
ko:K20248	cinI; acyl homoserine lactone synthase [EC:2.3.1.184]
ko:K20249	raiI; acyl homoserine lactone synthase [EC:2.3.1.184]
ko:K20250	cciI; acyl homoserine lactone synthase [EC:2.3.1.184]
ko:K20251	GRIP; glutamate receptor-interacting protein
ko:K20252	cinR; LuxR family transcriptional regulator, quorum-sensing system regulator CinR
ko:K20253	bisR; LuxR family transcriptional regulator, quorum-sensing system regulator BisR
ko:K20254	PLIN4; perilipin-4
ko:K20255	PLIN5; perilipin-5
ko:K20256	luxG; flavin reductase [EC:1.-.-.-]
ko:K20257	pqsE; 2-aminobenzoylacetyl-CoA thioesterase [EC:3.1.2.32]
ko:K20258	lecA; PA-I galactophilic lectin
ko:K20259	lecB; PA-IIL fucose-binding lectin
ko:K20260	phzA_B; phenazine biosynthesis protein
ko:K20261	phzD; trans-2,3-dihydro-3-hydroxyanthranilic acid synthase [EC:3.3.2.15]
ko:K20262	phzG; dihydrophenazinedicarboxylate synthase [EC:1.10.3.16]
ko:K20263	fusK; two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]
ko:K20264	fusR; two-component system, NarL family, response regulator FusR
ko:K20265	gadC; glutamate:GABA antiporter
ko:K20266	trbJ; type IV secretion system protein TrbJ
ko:K20267	trbH; type IV secretion system protein TrbH
ko:K20268	rhiA; rhizosphere induced protein
ko:K20269	rhiB; rhizosphere induced protein
ko:K20270	rhiC; rhizosphere induced protein
ko:K20271	accR; DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer
ko:K20272	traM; TraR antiactivator
ko:K20273	zmpA; zinc metalloprotease ZmpA
ko:K20274	zmpB; zinc metalloprotease ZmpB
ko:K20275	aidA; nematocidal protein AidA
ko:K20276	bapA; large repetitive protein
ko:K20277	bcl; mannose-binding lectin
ko:K20278	INPP5E; inositol polyphosphate 5-phosphatase INPP5E [EC:3.1.3.36]
ko:K20279	SYNJ; synaptojanin [EC:3.1.3.36]
ko:K20280	TRAPPC5, TRS31; trafficking protein particle complex subunit 5
ko:K20281	GCC1; GRIP and coiled-coil domain-containing protein 1
ko:K20282	GCC2; GRIP and coiled-coil domain-containing protein 2
ko:K20283	GOLGA4; golgin subfamily A member 4
ko:K20284	RABGAP1, GAPCENA; Rab GTPase-activating protein 1
ko:K20285	RABEPK; Rab9 effector protein with kelch motifs
ko:K20286	TMF1; TATA element modulatory factor
ko:K20287	PLIN3; perilipin-3
ko:K20288	COG1; conserved oligomeric Golgi complex subunit 1
ko:K20289	COG2; conserved oligomeric Golgi complex subunit 2
ko:K20290	COG3, SEC34; conserved oligomeric Golgi complex subunit 3
ko:K20291	COG4, COD1; conserved oligomeric Golgi complex subunit 4
ko:K20292	COG5; conserved oligomeric Golgi complex subunit 5
ko:K20293	COG6, COD2; conserved oligomeric Golgi complex subunit 6
ko:K20294	COG7; conserved oligomeric Golgi complex subunit 7
ko:K20295	COG8; conserved oligomeric Golgi complex subunit 8
ko:K20296	ANG2, VPS51; vacuolar protein sorting-associated protein 51
ko:K20297	VPS51; vacuolar protein sorting-associated protein 51
ko:K20298	VPS52; vacuolar protein sorting-associated protein 52
ko:K20299	VPS53; vacuolar protein sorting-associated protein 53
ko:K20300	TRAPPC1, BET5; trafficking protein particle complex subunit 1
ko:K20301	TRAPPC2, TRS20; trafficking protein particle complex subunit 2
ko:K20302	TRAPPC3, BET3; trafficking protein particle complex subunit 3
ko:K20303	TRAPPC4, TRS23; trafficking protein particle complex subunit 4
ko:K20304	TRAPPC6, TRS33; trafficking protein particle complex subunit 6
ko:K20305	TRAPPC8, TRS85; trafficking protein particle complex subunit 8
ko:K20306	TRAPPC9, TRS120; trafficking protein particle complex subunit 9
ko:K20307	TRAPPC10, TRS130; trafficking protein particle complex subunit 10
ko:K20308	TRAPPC11; trafficking protein particle complex subunit 11
ko:K20309	TRAPPC12; trafficking protein particle complex subunit 12
ko:K20310	TRAPPC13; trafficking protein particle complex subunit 13
ko:K20311	TRS65; trafficking protein particle complex II-specific subunit 65
ko:K20312	TCA17; TRAPP-associated protein TCA17
ko:K20313	PLEKHA3, FAPP1; pleckstrin homology domain-containing family A member 3
ko:K20314	ARFIP; arfaptin
ko:K20315	ARHGAP21_23; Rho GTPase-activating protein 21/23
ko:K20316	SCOC; short coiled-coil protein
ko:K20317	SPAG9, JIP4; c-Jun-amino-terminal kinase-interacting protein 4
ko:K20318	SYS1; protein SYS1
ko:K20319	blaADC; beta-lactamase class C ADC [EC:3.5.2.6]
ko:K20320	blaPDC; beta-lactamase class C PDC [EC:3.5.2.6]
ko:K20321	nlmA; mutacin IV
ko:K20322	nlmB; mutacin IV
ko:K20323	nlmC, cipB; mutacin V
ko:K20324	nlmD; mutacin VI
ko:K20325	fhrR; TetR/AcrR family transcriptional regulator, Clp-modulated transcription factor
ko:K20326	xagA; protein XagA
ko:K20327	xagB; glycosyltransferase XagB
ko:K20328	xagC; membrane protein XagC
ko:K20329	qsmR; IclR family transcriptional regulator, positive regulator for flagellar biogenesis
ko:K20330	toxJ; LuxR family transcriptional regulator, activator of tox operons
ko:K20331	toxA; toxoflavin biosynthesis protein ToxA
ko:K20332	toxC; toxoflavin biosynthesis protein ToxC
ko:K20333	toxD; toxoflavin biosynthesis protein ToxD
ko:K20334	cviR; LuxR family transcriptional regulator, quorum-sensing system regulator CviR
ko:K20335	psmA1_2; phenol-soluble modulin alpha 1/2
ko:K20336	psmA3; phenol-soluble modulin alpha 3
ko:K20337	psmB; phenol-soluble modulin beta
ko:K20338	rot; MarR family transcriptional regulator, global regulator for virulence
ko:K20339	agrC2; two-component system, LytTR family, sensor histidine kinase AgrC2 [EC:2.7.13.3]
ko:K20340	agrA2; two-component system, LytTR family, response regulator AgrA2
ko:K20341	blpL, cipI; immunity protein
ko:K20342	comR; HTH-type transcriptional regulator, regulator for ComX
ko:K20343	blpC; peptide pheromone BlpC
ko:K20344	blpA, lagD; ATP-binding cassette, subfamily C, bacteriocin exporter
ko:K20345	blpB; membrane fusion protein, peptide pheromone/bacteriocin exporter
ko:K20346	TMED4_9_11; p24 family protein alpha
ko:K20347	TMED2, EMP24; p24 family protein beta-1
ko:K20348	TMED1; p24 family protein gamma-1
ko:K20349	TMED7; p24 family protein gamma-3
ko:K20350	TMED3; p24 family protein gamma-4
ko:K20351	TMED6; p24 family protein gamma-5
ko:K20352	TMED10, ERV25; p24 family protein delta-1
ko:K20353	SEC16; COPII coat assembly protein SEC16
ko:K20354	PDILT; protein disulfide-isomerase-like protein of the testis
ko:K20355	ERP27; endoplasmic reticulum protein 27
ko:K20356	AGR2; anterior gradient protein 2
ko:K20357	AGR3; anterior gradient protein 3
ko:K20358	GOLGA2; golgin subfamily A member 2
ko:K20359	RABAC1, PRAF1; PRA1 family protein 1
ko:K20360	TBC1D22, GYP1; TBC1 domain family member 2
ko:K20361	USO1; intracellular protein transport protein USO1
ko:K20362	YIF1; protein transport protein YIF1
ko:K20363	YIP1, YIPF5; protein transport protein YIP1
ko:K20364	MCFD2; multiple coagulation factor deficiency protein 2
ko:K20365	ERGIC1; endoplasmic reticulum-Golgi intermediate compartment protein 1
ko:K20366	ERGIC2, ERV41; endoplasmic reticulum-Golgi intermediate compartment protein 2
ko:K20367	ERGIC3, ERV46; endoplasmic reticulum-Golgi intermediate compartment protein 3
ko:K20368	CNIH, ERV14; protein cornichon
ko:K20369	ERV29, SURF4; ER-derived vesicles protein
ko:K20370	PEPCK; phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]
ko:K20371	NUCB; nucleobindin
ko:K20372	TBC1D20, GYP8; TBC1 domain family member 20
ko:K20373	rgg2; HTH-type transcriptional regulator, SHP2-responsive activator
ko:K20374	rgg3; HTH-type transcriptional regulator, SHP3-responsive repressor
ko:K20375	ropB, rgg1; HTH-type transcriptional regulator, pheromone-responsive regulator
ko:K20376	prgQ; peptide inhibitor iCF10
ko:K20377	prgX; HTH-type transcriptional regulator, major conjugation operon repressor
ko:K20378	iad1; sex pheromone inhibitor iAD1
ko:K20379	cad; sex pheromone cAD1
ko:K20380	traA; HTH-type transcriptional regulator, pheromone-responsive repressor
ko:K20381	traE1; regulatory protein
ko:K20382	asa1; aggregation substance
ko:K20383	cylLL; CylL-L protein
ko:K20384	cylLS; CylL-S protein
ko:K20385	cylM; CylM protein
ko:K20386	cylB; ATP-binding cassette, subfamily B, bacterial CylB
ko:K20387	cylR1; regulatory protein CylR1
ko:K20388	cylR2; HTH-type transcriptional regulator, cytolysin regulator
ko:K20389	phrH; phosphatase RapH regulator
ko:K20390	papR; regulatory peptide PapR
ko:K20391	plcR; HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes
ko:K20392	PRAF2; PRA1 family protein 2
ko:K20393	ARL6IP5, PRAF3; PRA1 family protein 3
ko:K20394	SESN2; sestrin 2
ko:K20395	CD300B_D_F; CO300B/D/F antigen
ko:K20396	TBC1D7; TBC1 domain family member 7
ko:K20397	LAMTOR1; ragulator complex protein LAMTOR1
ko:K20398	LAMTOR2; ragulator complex protein LAMTOR2
ko:K20399	LAMTOR4; ragulator complex protein LAMTOR4
ko:K20400	FNIP1; folliculin-interacting protein 1
ko:K20401	FNIP2; folliculin-interacting protein 2
ko:K20402	DEPTOR; DEP domain-containing mTOR-interacting protein
ko:K20403	TTI1; TELO2-interacting protein 1
ko:K20404	DEPDC5; DEP domain-containing protein 5
ko:K20405	NPRL2; nitrogen permease regulator 2-like protein
ko:K20406	NPRL3; nitrogen permease regulator 3-like protein
ko:K20407	MIOS, MIO; WD repeat-containing protein mio
ko:K20408	WDR24; WD repeat-containing protein 24
ko:K20409	WDR59; WD repeat-containing protein 59
ko:K20410	MAPKAP1, SIN1; target of rapamycin complex 2 subunit MAPKAP1
ko:K20411	PRR5; proline-rich protein 5
ko:K20412	PI16, CRISP9, CD364; peptidase inhibitor 16
ko:K20413	HAVCR1, CD365; hepatitis A virus cellular receptor 1
ko:K20414	HAVCR2, CD366; hepatitis A virus cellular receptor 2
ko:K20415	madH; ACP-SH:acetate ligase [EC:6.2.1.35]
ko:K20416	FAD5; palmitoyl-[glycerolipid] 7-desaturase [EC:1.14.19.42]
ko:K20417	FAD4; palmitoyl-[glycerolipid] 3-(E)-desaturase [EC:1.14.19.43]
ko:K20418	ido; L-isoleucine 4-hydroxylase [EC:1.14.11.45]
ko:K20419	atdA1; gamma-glutamylanilide synthase [EC:6.3.1.18]
ko:K20420	ncsB3; 2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase [EC:1.14.99.49]
ko:K20421	ncsB1; 2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase [EC:2.1.1.303]
ko:K20422	ncsB; neocarzinostatin naphthoate synthase [EC:2.3.1.237]
ko:K20423	ncsB2; 2-hydroxy-7-methoxy-5-methyl-1-naphthoate---CoA ligase [EC:6.2.1.43]
ko:K20424	acbL; 2-epi-valiolone-7-phosphate 1-reductase [EC:1.1.1.-]
ko:K20425	acbN; cyclitol oxidoreductase
ko:K20426	acbU; 1-epi-valienol-7-phosphate kinase [EC:2.7.-.-]
ko:K20427	acbR, vldB; valienol-1-phosphate guanylyltransferase [EC:2.7.7.91]
ko:K20428	acbV; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]
ko:K20429	vioA; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]
ko:K20430	acbS; glycosyltransferase AcbS [EC:2.4.-.-]
ko:K20431	cetB, valD; 2-epi-5-epi-valiolone epimerase [EC:5.1.3.33]
ko:K20432	valK; 5-epi-valiolone dehydratase [EC:4.2.1.-]
ko:K20433	valC; C7-cyclitol 7-kinase [EC:2.7.1.214]
ko:K20434	valN; cyclitol reductase
ko:K20435	valM; validone 7-phosphate aminotransferase [EC:2.6.1.-]
ko:K20436	valL, salC; validamine 7-phosphate valienyltransferase [EC:2.5.1.135]
ko:K20437	vldH; validoxylamine A 7'-phosphate phosphatase [EC:3.1.3.101]
ko:K20438	valG; validoxylamine A glucosyltransferase [EC:2.4.1.338]
ko:K20439	salP; putative phosphohexomutase / phosphatase
ko:K20440	salE; salbostatin 6'-phosphate phosphatase [EC:3.1.3.-]
ko:K20441	cetL; 5-epi-valiolone oxidase [EC:1.1.3.-]
ko:K20442	cetM; 2-keto-5-epi-valolone aminotransferase [EC:2.6.1.-]
ko:K20443	cetD; cetoniacytone B acyltransferase [EC:2.3.1.-]
ko:K20444	rfbC; O-antigen biosynthesis protein [EC:2.4.1.-]
ko:K20445	ndhF; nicotinate dehydrogenase FAD-subunit [EC:1.17.1.5]
ko:K20446	ndhS; nicotinate dehydrogenase small FeS subunit [EC:1.17.1.5]
ko:K20447	ndhL; nicotinate dehydrogenase large molybdopterin subunit [EC:1.17.1.5]
ko:K20448	ndhM; nicotinate dehydrogenase medium molybdopterin subunit [EC:1.17.1.5]
ko:K20449	hnr; 6-hydroxynicotinate reductase [EC:1.3.7.1]
ko:K20450	mgm; 2-methyleneglutarate mutase [EC:5.4.99.4]
ko:K20451	mii; methylitaconate Delta-isomerase [EC:5.3.3.6]
ko:K20452	dmdA; dimethylmaleate hydratase large subunit [EC:4.2.1.85]
ko:K20453	dmdB; dimethylmaleate hydratase small subunit [EC:4.2.1.85]
ko:K20454	dml; 2,3-dimethylmalate lyase [EC:4.1.3.32]
ko:K20455	acnD; 2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117]
ko:K20456	OSBP; oxysterol-binding protein 1
ko:K20457	DHFS; dihydrofolate synthase [EC:6.3.2.12]
ko:K20458	hcl; 3-hydroxybenzoate/4-hydroxybenzoate---CoA ligase [EC:6.2.1.37 6.2.1.27]
ko:K20459	nukF, mcdF, sboF; lantibiotic transport system ATP-binding protein
ko:K20460	nukE, mcdE, sboE; lantibiotic transport system permease protein
ko:K20461	nukG, mcdG, sboG; lantibiotic transport system permease protein
ko:K20462	OSBP2, ORP4; oxysterol-binding protein 2
ko:K20463	OSBPL3_6_7, ORP3_6_7; oxysterol-binding protein-related protein 3/6/7
ko:K20464	OSBPL5_8, ORP5_8; oxysterol-binding protein-related protein 5/8
ko:K20465	OSBPL9_10_11, ORP9_10_11; oxysterol-binding protein-related protein 9/10/11
ko:K20466	mmpL11; heme transporter
ko:K20467	K20467; heme-binding protein
ko:K20468	K20468; putative heme transporter
ko:K20469	K20469; putative heme transporter
ko:K20470	mmpL3; trehalose monomycolate/heme transporter
ko:K20471	COPD, ARCN1, RET2; coatomer subunit delta
ko:K20472	COPZ, RET3; coatomer subunit zeta
ko:K20473	NBAS; neuroblastoma-amplified sequence
ko:K20474	RINT1, TIP20; RAD50-interacting protein 1
ko:K20475	SEC39, DSL3; protein transport protein SEC39
ko:K20476	RIC1; RAB6A-GEF complex partner protein 1
ko:K20477	RGP1; RAB6A-GEF complex partner protein 2
ko:K20478	GOLGB1; golgin subfamily B member 1
ko:K20479	WHAMM; WASP homolog-associated protein with actin, membranes and microtubules
ko:K20480	nprR, nprA; HTH-type transcriptional regulator, quorum sensing regulator NprR
ko:K20481	nprX, nprRB; regulatory peptide NprX
ko:K20482	nisA, spaS, epiA; lantibiotic bacteriocin
ko:K20483	nisB, spaB, epiB; lantibiotic biosynthesis protein
ko:K20484	nisC, spaC, epiC; lantibiotic biosynthesis protein
ko:K20485	nisT, spaT; ATP-binding cassette, subfamily B, bacterial NisT
ko:K20486	nisP, epiP; lantibiotic leader peptide-processing serine protease [EC:3.4.21.-]
ko:K20487	nisK, spaK; two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]
ko:K20488	nisR, spaR; two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR
ko:K20489	nisI; lantibiotic immunity protein
ko:K20490	nisF, spaF, cprA, epiF; lantibiotic transport system ATP-binding protein
ko:K20491	nisE, spaE, cprB, epiE; lantibiotic transport system permease protein
ko:K20492	nisG, spaG, cprC; lantibiotic transport system permease protein
ko:K20493	LRRC16, CARMIL; leucine-rich repeat-containing protein 16
ko:K20494	epiG; lantibiotic transport system permease protein
ko:K20495	CYP704B1; long-chain fatty acid omega-monooxygenase [EC:1.14.13.205]
ko:K20496	CYP703A2; laurate 7-monooxygenase [EC:1.14.13.206]
ko:K20497	CYP124; methyl-branched lipid omega-hydroxylase [EC:1.14.15.14]
ko:K20498	DSD1; D-serine ammonia-lyase [EC:4.3.1.18]
ko:K20499	csh; carbon disulfide hydrolase [EC:3.13.1.5]
ko:K20500	rapL; L-lysine cyclodeaminase [EC:4.3.1.28]
ko:K20501	THCAS; tetrahydrocannabinolic acid synthase [EC:1.21.3.7]
ko:K20502	CBDAS; cannabidiolic acid synthase [EC:1.21.3.8]
ko:K20503	OLS; 3,5,7-trioxododecanoyl-CoA synthase [EC:2.3.1.206]
ko:K20504	dtcycA; cembrene C/nephthenol synthase [EC:4.2.3.148 4.2.3.149]
ko:K20505	dtcycB; nephthenol/cembrene A/pentamethylcyclopentadecatrienol synthase [EC:4.2.3.149 4.2.3.150 4.2.3.151]
ko:K20506	TCEA; tuliposide A-converting enzyme [EC:4.2.99.22]
ko:K20507	TCEB; tuliposide B-converting enzyme [EC:4.2.99.23]
ko:K20508	OAC; olivetolic acid cyclase [EC:4.4.1.26]
ko:K20509	madB; carboxybiotin decarboxylase [EC:4.3.99.2]
ko:K20510	madC; malonyl-S-ACP:biotin-protein carboxyltransferase subunit MadC [EC:2.1.3.10]
ko:K20511	madD; malonyl-S-ACP:biotin-protein carboxyltransferase subunit MadD [EC:2.1.3.10]
ko:K20512	K20512; taxoid 14beta-hydroxylase [EC:1.14.13.146]
ko:K20513	CYP76AH1; ferruginol synthase [EC:1.14.13.190]
ko:K20514	DC1; phyllocladan-16alpha-ol/copalyl diphosphate synthase [EC:4.2.3.45 5.5.1.12]
ko:K20515	PIM1; pimaradiene synthase [EC:4.2.3.147]
ko:K20516	CLS; copal-8-ol diphosphate hydratase [EC:4.2.1.133]
ko:K20517	ABS; cis-abienol synthase [EC:4.2.3.140]
ko:K20518	CAS; copal-8-ol diphosphate hydratase / cis-abienol synthase [EC:4.2.1.133 4.2.3.140]
ko:K20519	SS; sclareol synthase [EC:4.2.3.141]
ko:K20520	DBNL, ABP1; drebrin-like protein
ko:K20521	BBC1, MTI1; myosin tail region-interacting protein MTI1
ko:K20522	LSB1_2; LAS seventeen-binding protein 1/2
ko:K20523	SH3YL1; SH3 domain-containing YSC84-like protein 1
ko:K20524	LSB5; LAS seventeen-binding protein 5
ko:K20525	alg17C; oligo-alginate lyase [EC:4.2.2.26]
ko:K20526	TAGLN; transgelin
ko:K20527	trbB; type IV secretion system protein TrbB
ko:K20528	trbC; type IV secretion system protein TrbC
ko:K20529	trbD; type IV secretion system protein TrbD
ko:K20530	trbE; type IV secretion system protein TrbE
ko:K20531	trbF; type IV secretion system protein TrbF
ko:K20532	trbG; type IV secretion system protein TrbG
ko:K20533	trbI; type IV secretion system protein TrbI
ko:K20534	gtrB, csbB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
ko:K20535	MPK1_2; mitogen-activated protein kinase 1/2 [EC:2.7.11.24]
ko:K20536	MPK3; mitogen-activated protein kinase 3 [EC:2.7.11.24]
ko:K20537	MPK7_14; mitogen-activated protein kinase 7/14 [EC:2.7.11.24]
ko:K20538	MPK8; mitogen-activated protein kinase 8 [EC:2.7.11.24]
ko:K20539	blcR; IclR family transcriptional regulator, blcABC operon repressor
ko:K20540	cepR2; LuxR family transcriptional regulator, quorum-sensing system regulator CepR2
ko:K20541	bcsB; cellulose synthase operon protein B
ko:K20542	bcsZ; endoglucanase [EC:3.2.1.4]
ko:K20543	bcsC; cellulose synthase operon protein C
ko:K20544	CYP86A22; long-chain acyl-CoA omega-monooxygenase [EC:1.14.13.204]
ko:K20545	CYP716A47, PPDS; dammarenediol 12-hydroxylase [EC:1.14.13.183]
ko:K20546	CYP716A53; protopanaxadiol 6-hydroxylase [EC:1.14.13.184]
ko:K20547	CHIB; basic endochitinase B [EC:3.2.1.14]
ko:K20548	ahgd; 3,6-anhydro-alpha-L-galactose dehydrogenase [EC:1.2.1.92]
ko:K20549	aci; 3,6-anhydro-L-galactonate cycloisomerase [EC:5.5.1.25]
ko:K20550	SOL5; prosolanapyrone-II oxidase / prosolanapyrone-III cycloisomerase [EC:1.1.3.42 5.5.1.20]
ko:K20551	MKP2; dual specificity protein phosphatase 1B [EC:3.1.3.16 3.1.3.48]
ko:K20552	ler; transcriptional regulator of LEE operons
ko:K20553	XRN4; 5'-3' exoribonuclease 4 [EC:3.1.13.-]
ko:K20554	rnaIII; small regulatory RNA RNAIII
ko:K20555	trbK; type IV secretion system protein TrbK
ko:K20556	CYP76C; cytochrome P450 family 76 subfamily C
ko:K20557	VIP1; transcription factor VIP1
ko:K20558	SPCH; transcription factor SPEECHLESS
ko:K20559	CYP71B15; dihydrocamalexate/camalexin synthase
ko:K20560	CYP71BJ1; tabersonine/lochnericine 19-hydroxylase
ko:K20561	CYP71BL2; costunolide synthase [EC:1.14.13.120]
ko:K20562	CYP736A; biphenyl-4-hydroxylase
ko:K20563	CYP750B1; cytochrome P450 family 750 subfamily B polypeptide 1
ko:K20564	CYP76AA25; cytochrome P450 family 76 subfamily AA polypeptide 25
ko:K20565	neoG, neoQ; paromamine 6'-oxidase / 6'''-hydroxyneomycin C oxidase [EC:1.1.3.43 1.1.3.44]
ko:K20566	kanI; paromamine 6'-oxidase / 2'-deamino-2'-hydroxyparomamine 6'-oxidase [EC:1.1.3.43 1.1.3.-]
ko:K20567	neoN; neamine transaminase / neomycin C transaminase [EC:2.6.1.93 2.6.1.95]
ko:K20568	kacL; neamine transaminase / 2'-deamino-2'-hydroxyneamine transaminase [EC:2.6.1.93 2.6.1.94]
ko:K20569	btrE; NAD+-dependent dehydrogenase [EC:1.1.1.-]
ko:K20570	btrF; NADPH-dependent reductase [EC:1.1.1.-]
ko:K20571	kanC; dehydrogenase [EC:1.1.1.-]
ko:K20572	kanD; aminotransferase [EC:2.6.1.-]
ko:K20573	kanE, kanM2; 2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase [EC:2.4.1.301]
ko:K20574	kanJ, kacB; kanamycin B dioxygenase [EC:1.14.11.37]
ko:K20575	aprD4; radical SAM diol-dehydratase
ko:K20576	aprD3; NADP-dependent dehydrogenase [EC:1.1.1.-]
ko:K20577	aprQ; paromamine/lividamine 6'-oxidase [EC:1.1.3.43 1.1.3.-]
ko:K20578	tobM2; glycosyltransferase [EC:2.4.1.-]
ko:K20579	tobZ; nebramycin 5' synthase [EC:6.1.2.2]
ko:K20580	livL, parL; phosphoribosyltransferase [EC:2.4.2.-]
ko:K20581	livP, parP; phosphatase [EC:3.1.3.-]
ko:K20582	livF, parF; N-acetylglucosaminyltransferase [EC:2.4.1.-]
ko:K20583	livD, parD; deacetylase [EC:3.5.1.-]
ko:K20584	livQ, parQ; 6'''-hydroxyparomomycin oxidase [EC:1.1.3.-]
ko:K20585	livB, parB; paromomycin transaminase [EC:2.6.1.-]
ko:K20586	livW; oxidoreductase
ko:K20587	livY; dehydrogenase
ko:K20588	livN, parN; 5'''-epimerase [EC:5.1.3.-]
ko:K20589	genM2, gtmE, gntD; paromamine D-xylosyltransferase [EC:2.4.2.-]
ko:K20590	genD2, gtmC, gntC; gentamicin A2 dehydrogenase [EC:1.1.1.-]
ko:K20591	genS2, gtmD, gntF; pyridoxal phosphate-dependent aminotransferase [EC:2.6.1.-]
ko:K20592	genN; SAM-dependent 3''-N-methyltransferase [EC:2.1.1.-]
ko:K20593	genD1, gtmI, gntE; cobalamin-dependent radical SAM methyltransferase [EC:2.1.1.-]
ko:K20594	genK, gacD, gntK; cobalamin-dependent radical SAM methyltransferase [EC:2.1.1.-]
ko:K20595	genQ, gacJ, gntX; gentamicin-X2/G418 6'-oxidase
ko:K20596	genB1, gacK, gntW; JI-20A/JI-20Ba transaminase [EC:2.6.1.-]
ko:K20597	genB2; JI-20B transaminase / epimerase [EC:2.6.1.-]
ko:K20598	genP, gntI; aminoglycoside phosphotransferase
ko:K20599	SUMM2; NB-LRR protein SUMM2
ko:K20600	MPK4; mitogen-activated protein kinase 4 [EC:2.7.11.24]
ko:K20602	MEK1, MKK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]
ko:K20603	MKK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]
ko:K20604	MKK9; mitogen-activated protein kinase kinase 9 [EC:2.7.12.2]
ko:K20605	MEKK2; mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25]
ko:K20606	ANP1; mitogen-activated protein kinase kinase kinase ANP1 [EC:2.7.11.25]
ko:K20607	MKK3; mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]
ko:K20608	tet; tetrahedral aminopeptidase [EC:3.4.11.-]
ko:K20609	sgcX; putative aminopeptidase [EC:3.4.11.-]
ko:K20610	E4.2.2.25; gellan lyase [EC:4.2.2.25]
ko:K20611	crtD; 1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase [EC:1.3.99.37]
ko:K20612	vioC; L-arginine hydroxylase [EC:1.14.11.41]
ko:K20613	KHS; kievitone hydratase [EC:4.2.1.95]
